# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!!
"Error adding hook [%s]. Hook doesn't have, a callable function","Error adding hook [%s]. Hook doesn't have a callable function"
"Error handling form submit.","Error handling form submit."
"Unknown API type","Unknown API type"
"Couldn't initiate API object.","Couldn't initiate API object."
"Error in API call.","Error in API call."
"Couldn't finalize, API object is empty.","Couldn't finalize, API object is empty."
"Couldn't finialize API action.","Couldn't finialize API action."
"Couldn't read input buffer.","Couldn't read input buffer."
"SDK demo page","SDK demo page"
"Found %s methods","Found %s methods"
"Found %s functionalities","Found %s functionalities"
"Quick example on how to use method <em>%s</em> with functionality <em>%s</em>.","Quick example on how to use method <em>%s</em> with functionality <em>%s</em>."
"Choose an option","Choose an option"
"Simulate API call","Simulate API call"
"Couldn't guess base URL. Please set it manually using %s::base_url( url ) method.","Couldn't guess base URL. Please set it manually using %s::base_url( url ) method."
"View API result","View API result"
"View API form","View API form"
"Request headers","Request headers"
"Request body","Request body"
"Raw / Formatted response","Raw / Formatted response"
"Response headers","Response headers"
"Response body","Response body"
"Processed response (array)","Processed response (array)"
"Remove","Remove"
"Key","Key"
"Value","Value"
"Add value","Add value"
"Invalid API method.","Invalid API method."
"Invalid API key.","Invalid API key."
"Invalid API environment.","Invalid API environment."
"Couldn't extract get parameters.","Couldn't extract get parameters."
"Couldn't extract method parameters.","Couldn't extract method parameters."
"Error initializing API object.","Error initializing API object."
"API call FAILED. (%ss)","API call FAILED. (%ss)"
"Successfull API call. (%ss)","Successfull API call. (%ss)"
"Error calling finalize on result.","Error calling finalize on result."
"To finalize this transaction go to: <a href=""%s"" target=""_blank"">%s</a>","To finalize this transaction go to: <a href=""%s"" target=""_blank"">%s</a>"
"Initialize method first.","Initialize method first."
"Invalid functionality %s.","Invalid functionality %s."
"Error instantiating method %s.","Error instantiating method %s."
"Mandatory field %s not provided.","Mandatory field %s not provided."
"Field %s failed regular expression %s.","Field %s failed regular expression %s."
"Variable %s contains invalid value [%s].","Variable %s contains invalid value [%s]."
"Unknown module","Unknown module"
"Module doesn't appear to be a Smart2Pay module.","Module doesn't appear to be a Smart2Pay module."
"Module initialization failed.","Module initialization failed."
"Please provide a valid hook name.","Please provide a valid hook name."
"Couldn't add callback for hook %s.","Couldn't add callback for hook %s."
"Autoloading unknown module.","Autoloading unknown module."
"Module file not found.","Module file not found."
"Class not found after autoloading.","Class not found after autoloading."
"No authentication.","No authentication."
"API Key not set in config file.","API Key not set in config file."
"Request doesn't match API Key set in config file.","Request doesn't match API Key set in config file."
"Notification body is empty.","Notification body is empty."
"Notification body is not a JSON.","Notification body is not a JSON."
"Headers already set from file %s, line %s.","Headers already set from file %s, line %s."
"Method not set","Method not set"
"API Key not set.","API Key not set."
"Site ID not set.","Site ID not set."
"Couldn't obtain base URL.","Couldn't obtain base URL."
"Couldn't prepare request data.","Couldn't prepare request data."
"Couldn't prepare API request.","Couldn't prepare API request."
"Couldn't set HTTP method.","Couldn't set HTTP method."
"Couldn't set final URL.","Couldn't set final URL."
"Error sending API call","Error sending API call"
"Request responded with error code %s","Request responded with error code %s"
"Error parsing server response.","Error parsing server response."
"Error validating server response.","Error validating server response."
"Invalid call result or previous call failed.","Invalid call result or previous call failed."
"Couldn't finalize request after call.","Couldn't finalize request after call."
"Unknown environment","Unknown environment"
"Error instantiating method.","Error instantiating method."
"Invalid method functionality","Invalid method functionality"
"Couldn't initialize cURL request. Please check cURL library.","Couldn't initialize cURL request. Please check cURL library."
"Unknown source type.","Unknown source type."
"List Merchat Sites","List Merchat Sites"
"Merchant Site Details","Merchant Site Details"
"Create Merchant Site","Create Merchant Site"
"Edit Merchant Site","Edit Merchant Site"
"Regenerate Merchant Site API Key","Regenerate Merchant Site API Key"
"Regenerate Merchant Site Signature","Regenerate Merchant Site Signature"
"Merchant Sites","Merchant Sites"
"This method helps you manage merchant sites","This method helps you manage merchant sites"
"Returned by server: %s","Returned by server: %s"
"Merchant site ID is empty.","Merchant site ID is empty."
"List available methods","List available methods"
"Get method details","Get method details"
"Get available methods for specific country","Get available methods for specific country"
"Get merchant's assigned methods","Get merchant's assigned methods"
"Get merchant\'s assigned methods for specific country","Get merchant\'s assigned methods for specific country"
"Payment methods","Payment methods"
"This method helps you manage payment methods","This method helps you manage payment methods"
"Initiate a Payment","Initiate a Payment"
"Initiate a Recurring Payment","Initiate a Recurring Payment"
